1x1;6,1x1;5,1x1;4,1x1;3,1x1;3,1x1;6,1x1;6,1x1;3
0,2x2;7,0,0,1x1;4,1x1;6,1x1;3,1x1;3
0,0,0,0,1x1;4,1x1;6,1x1;3,1x1;4
1x1;5,1x1;3,0,3x3;10,0,0,1x1;4,1x1;3
1x1;3,1x1;5,0,0,0,0,1x1;5,1x1;6
1x1;6,1x1;6,0,0,0,0,1x1;3,1x1;4
1x1;5,1x1;4,0,1x1;5,4x4;24,0,0,0
1x1;5,1x1;5,0,1x1;5,0,0,0,0
1x1;6,1x1;4,0,1x1;6,0,0,0,0
1x1;5,1x1;3,0,1x1;6,0,0,0,0
1x1;4,1x1;3,1x1;4,1x1;3,1x1;6,1x1;6,1x1;4,1x1;4
1x1;6,0,3x3;14,0,0,1x1;6,1x1;6,1x1;3
1x1;5,0,0,0,0,1x1;3,1x1;6,1x1;5
1x1;6,0,0,0,0,1x1;6,1x1;6,1x1;3
1x1;4,1x1;4,1x1;3,1x1;4,1x1;4,1x1;5,1x1;4,1x1;4
1x1;3,1x1;4,1x1;5,1x1;3,1x1;6,1x1;4,1x1;3,1x1;6
1x1;5,1x1;3,1x1;6,0,2x2;7,0,0,1x1;6
1x1;6,1x1;4,1x1;5,0,0,0,0,1x1;4
1x1;3,1x1;6,1x1;5,1x1;4,1x1;6,1x1;5,1x1;5,1x1;3
1x1;5,1x1;6,1x1;3,1x1;3,1x1;4,1x1;6,1x1;3,1x1;4
