1x1;5,1x1;4,1x1;4,1x1;3,1x1;5,1x1;4,1x1;4,1x1;6
1x1;5,1x1;5,1x1;6,1x1;6,1x1;3,1x1;6,1x1;6,1x1;5
1x1;5,1x1;6,1x1;3,1x1;5,1x1;4,1x1;3,1x1;6,1x1;3
1x1;3,1x1;6,1x1;4,1x1;4,1x1;5,1x1;4,1x1;4,1x1;4
1x1;6,1x1;6,1x1;3,1x1;3,1x1;3,1x1;4,1x1;3,1x1;4
1x1;6,1x1;5,1x1;5,1x1;4,1x1;3,1x1;4,1x1;4,1x1;4
1x1;5,1x1;5,1x1;3,1x1;6,1x1;5,1x1;5,1x1;4,1x1;5
1x1;5,1x1;4,1x1;4,1x1;4,1x1;3,1x1;6,1x1;3,1x1;4
1x1;4,1x1;4,1x1;3,1x1;3,1x1;4,1x1;3,1x1;4,1x1;5
1x1;6,1x1;6,1x1;5,1x1;4,1x1;3,1x1;5,1x1;3,1x1;5
1x1;3,1x1;4,1x1;3,1x1;5,1x1;5,1x1;3,1x1;5,1x1;6
1x1;5,1x1;5,1x1;3,1x1;5,1x1;6,1x1;5,1x1;4,1x1;5
1x1;4,1x1;5,1x1;4,1x1;6,1x1;4,1x1;5,1x1;4,1x1;3
1x1;5,1x1;5,1x1;5,1x1;4,1x1;3,1x1;6,1x1;3,1x1;3
1x1;6,1x1;5,1x1;6,1x1;5,1x1;6,1x1;4,1x1;4,1x1;6
1x1;3,1x1;4,1x1;3,1x1;4,1x1;6,1x1;5,1x1;5,1x1;5
1x1;3,1x1;6,1x1;4,1x1;5,1x1;6,1x1;3,1x1;5,1x1;4
1x1;6,1x1;4,1x1;3,1x1;6,1x1;5,1x1;6,1x1;6,1x1;3
1x1;3,1x1;3,1x1;4,1x1;6,1x1;3,1x1;4,1x1;5,1x1;3
1x1;6,1x1;6,1x1;5,1x1;6,1x1;4,1x1;6,1x1;5,1x1;4
