2x2;7,0,1x1;5,1x1;3,1x1;3,1x1;4,2x2;8,0
0,0,1x1;4,1x1;5,1x1;6,1x1;5,0,0
1x1;4,1x1;5,1x1;4,1x1;4,1x1;6,1x1;6,1x1;4,1x1;6
1x1;5,1x1;4,1x1;6,1x1;3,1x1;4,1x1;6,1x1;6,1x1;3
1x1;6,1x1;6,1x1;3,1x1;6,1x1;6,1x1;5,1x1;5,0
1x1;3,3x3;10,0,0,1x1;5,1x1;3,1x1;4,0
1x1;6,0,0,0,1x1;5,0,0,0
1x1;3,0,0,0,1x1;6,0,1x1;4,1x1;5
1x1;5,1x1;4,1x1;4,1x1;6,1x1;4,0,1x1;6,1x1;3
1x1;3,1x1;3,1x1;6,1x1;5,1x1;5,0,1x1;6,1x1;4
1x1;4,1x1;3,1x1;5,0,0,0,1x1;6,1x1;5
0,1x1;6,1x1;5,1x1;5,1x1;4,1x1;5,1x1;6,1x1;3
0,0,0,1x1;5,3x3;14,0,0,1x1;6
0,1x1;3,1x1;5,1x1;3,0,0,0,1x1;4
0,1x1;6,1x1;3,1x1;3,0,0,0,1x1;6
1x1;4,1x1;6,1x1;4,1x1;4,1x1;3,1x1;3,1x1;6,1x1;6
1x1;4,1x1;4,1x1;5,1x1;5,1x1;5,1x1;4,1x1;5,1x1;4
1x1;6,1x1;3,1x1;5,1x1;5,1x1;6,1x1;5,1x1;6,1x1;5
2x2;7,0,1x1;6,1x1;6,1x1;6,1x1;4,2x2;7,0
0,0,1x1;6,1x1;3,1x1;4,1x1;6,0,0
